"TOA5","BoiaBarcelona","CR1000X","27337","CR1000X.Std.08.01","CPU:IcatmarBoiaBarcelona.CR1X","15555","SBE37_SMPO"
"TIMESTAMP","RECORD","SBE37Sn","SBE37Temp","SBE37Cond","SBE37Pres","SBE37OXY","SBE37Sal","SBE37Date","SBE37Time"
"TS","RN","","Deg C","S/m","dbar","ml/L","PSU","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-19 21:00:00",7,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 22:00:00",8,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-19 23:00:00",9,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 00:00:00",10,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 01:00:00",11,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 02:00:00",12,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 03:00:00",13,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 04:00:00",14,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 05:00:00",15,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 06:00:00",16,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 07:00:00",17,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 08:00:00",18,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 09:00:00",19,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 10:00:00",20,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 11:00:00",21,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 12:00:00",22,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 13:00:00",23,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 14:00:00",24,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 15:00:00",25,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 16:00:00",26,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 17:00:00",27,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 18:00:00",28,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 19:00:00",29,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 20:00:00",30,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 21:00:00",31,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 22:00:00",32,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-20 23:00:00",33,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 00:00:00",34,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 01:00:00",35,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 02:00:00",36,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 03:00:00",37,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 04:00:00",38,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 05:00:00",39,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 06:00:00",40,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 07:00:00",41,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 08:00:00",42,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 09:00:00",43,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 10:00:00",44,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 11:00:00",45,"37-26087","NAN","NAN","NAN","NAN","NAN","",""
"2024-11-21 12:00:00",46,"37-26087",18.3102,3E-05,-0.151,"NAN",0.0093," 21 Nov 2024"," 12:00:13"
"2024-11-21 13:00:00",47,"37-26087",18.0693,3E-05,-0.165,"NAN",0.0092," 21 Nov 2024"," 13:00:13"
"2024-11-21 14:00:00",48,"37-26087",18.1758,3E-05,-0.175,"NAN",0.0092," 21 Nov 2024"," 14:00:14"
"2024-11-21 15:00:00",49,"37-26087",18.3604,3E-05,-0.178,"NAN",0.0093," 21 Nov 2024"," 15:00:14"
"2024-11-21 16:00:00",50,"37-26087",18.4306,3E-05,-0.182,"NAN",0.0093," 21 Nov 2024"," 16:00:14"
"2024-11-21 17:00:00",51,"37-26087",18.5003,3E-05,-0.187,"NAN",0.0093," 21 Nov 2024"," 17:00:14"
"2024-11-21 18:00:00",52,"37-26087",18.4761,3E-05,-0.187,"NAN",0.0093," 21 Nov 2024"," 18:00:14"
"2024-11-21 19:00:00",53,"37-26087",18.5024,4E-05,-0.19,"NAN",0.0093," 21 Nov 2024"," 19:00:14"
"2024-11-21 20:00:00",54,"37-26087",18.4281,4E-05,-0.192,"NAN",0.0093," 21 Nov 2024"," 20:00:14"
"2024-11-21 21:00:00",55,"37-26087",18.3148,3E-05,-0.195,"NAN",0.0093," 21 Nov 2024"," 21:00:14"
"2024-11-21 22:00:00",56,"37-26087",18.3508,3E-05,-0.196,"NAN",0.0093," 21 Nov 2024"," 22:00:14"
